"nome","resumo","coordenador"
"EFEITO DO EXERCÍCIO FÍSICO NO DESENVOLVIMENTO DA LEISHMANIOSE EXPERIMENTAL","Em breve este conteúdo estará disponível.","Patrícia Maria Lourenço Dutra "
"EFEITO DA DIETA E DO EXERCÍCIO FÍSICO NA LEISHMANIOSE EXPERIMENTAL EM CAMUNDONGOS BALB/C","Em breve este conteúdo estará disponível.","Patrícia Maria Lourenço Dutra "
"APRIMORAMENTO METODOLÓGICO DE ENSAIOS PRÉ-CLÍNICOS DE MOLÉCULAS PARA O TRATAMENTO DA LEISHMANIOSE","Em breve este conteúdo estará disponível.","Silvia Amaral Gonçalves Da Silva "
